celltype,gene,marker_group,marker_order,actual_var_name,mean_expression,fraction_expressing_pct,celltype_n,scaled_mean_expression
Enteroendocrine,CD8A,CD8+ T cells,17,CD8A,0.0,0.0,559,0.0
Enteroendocrine,NKG7,CD8+ T cells,18,NKG7,0.008944543828264758,0.8944543828264758,559,0.001760008042470396
Enteroendocrine,GZMB,CD8+ T cells,19,GZMB,0.0,0.0,559,0.0
Enteroendocrine,LEF1,CD4+ T cells,20,LEF1,0.02146690518783542,1.4311270125223614,559,0.18654000370119053
Enteroendocrine,IL7R,CD4+ T cells,21,IL7R,0.05366726296958855,1.6100178890876566,559,0.012242962251493504
Enteroendocrine,CD40LG,CD4+ T cells,22,CD40LG,0.0017889087656529517,0.17889087656529518,559,0.0046283881821821745
Enteroendocrine,MS4A1,B cells,23,MS4A1,0.0035778175313059034,0.35778175313059035,559,0.0014271705002444558
Enteroendocrine,CD79A,B cells,24,CD79A,0.1001788908765653,5.18783542039356,559,0.020213660834650628
Enteroendocrine,CD38,Plasma,25,CD38,0.09123434704830054,5.18783542039356,559,0.09304405913581013
Enteroendocrine,MZB1,Plasma,26,MZB1,0.2629695885509839,13.237924865831843,559,0.01652162494723896
Enteroendocrine,XBP1,Plasma,27,XBP1,0.6010733452593918,33.273703041144906,559,0.06673517377927042
Enteroendocrine,LYZ,Myeloid,28,LYZ,0.13059033989266547,4.83005366726297,559,0.008150014922343924
Enteroendocrine,C1QA,Myeloid,29,C1QA,0.06440071556350627,4.114490161001789,559,0.004642702210928276
Enteroendocrine,CD68,Myeloid,30,CD68,0.03756708407871199,3.5778175313059033,559,0.01835697271226921
Tuft,LGR5,Stem/TA,1,LGR5,0.0,0.0,674,0.0
Tuft,OLFM4,Stem/TA,2,OLFM4,0.013353115727002967,1.1869436201780417,674,0.054715805695362066
Tuft,MKI67,Stem/TA,3,MKI67,0.005934718100890208,0.5934718100890208,674,0.014546561711796361
Tuft,FABP1,Enterocytes,4,FABP1,1.2967359050445104,60.089020771513354,674,0.008202262386882413
Tuft,ALPI,Enterocytes,5,ALPI,0.0,0.0,674,0.0
Tuft,SLC26A3,Enterocytes,6,SLC26A3,0.1884272997032641,15.875370919881307,674,0.012190585431278824
Tuft,BEST4,Enterocytes,7,BEST4,0.06083086053412463,4.154302670623145,674,0.013942358720056112
Tuft,MUC2,Goblet,8,MUC2,0.11275964391691394,9.792284866468842,674,0.0034175476094758755
Tuft,TFF3,Goblet,9,TFF3,0.5118694362017804,30.86053412462908,674,0.014041971071125378
Tuft,SPDEF,Goblet,10,SPDEF,0.002967359050445104,0.2967359050445104,674,0.007017845027016864
Tuft,CHGA,Enteroendocrine,11,CHGA,0.004451038575667656,0.44510385756676557,674,0.0011413442953202844
Tuft,NEUROD1,Enteroendocrine,12,NEUROD1,0.0,0.0,674,0.0
Tuft,TPH1,Enteroendocrine,13,TPH1,0.001483679525222552,0.1483679525222552,674,0.0025757045173894614
Tuft,TRPM5,Tuft,14,TRPM5,0.6795252225519288,37.24035608308605,674,1.0
Tuft,POU2F3,Tuft,15,POU2F3,0.7818991097922848,32.34421364985163,674,1.0
Tuft,SH2D6,Tuft,16,SH2D6,1.8026706231454006,49.40652818991098,674,1.0
Tuft,CD8A,CD8+ T cells,17,CD8A,0.00741839762611276,0.741839762611276,674,0.008196828291246804
Tuft,NKG7,CD8+ T cells,18,NKG7,0.06528189910979229,4.154302670623145,674,0.03353580005396897
Tuft,GZMB,CD8+ T cells,19,GZMB,0.001483679525222552,0.1483679525222552,674,0.0038767465751914673
Tuft,LEF1,CD4+ T cells,20,LEF1,0.00741839762611276,0.5934718100890208,674,0.06446331730277295
Tuft,IL7R,CD4+ T cells,21,IL7R,0.02225519287833828,1.1869436201780417,674,0.004577916250862249
Tuft,CD40LG,CD4+ T cells,22,CD40LG,0.001483679525222552,0.1483679525222552,674,0.003838678032403317
Tuft,MS4A1,B cells,23,MS4A1,0.0,0.0,674,0.0
Tuft,CD79A,B cells,24,CD79A,0.02225519287833828,2.225519287833828,674,0.00291986118130541
Tuft,CD38,Plasma,25,CD38,0.07418397626112759,5.786350148367952,674,0.0737031795128088
Tuft,MZB1,Plasma,26,MZB1,0.06528189910979229,6.528189910979229,674,0.0020638468591115625
Tuft,XBP1,Plasma,27,XBP1,0.19732937685459942,14.985163204747776,674,0.006936634551561733
Tuft,LYZ,Myeloid,28,LYZ,3.2893175074183976,23.293768545994066,674,0.21759573527667822
Tuft,C1QA,Myeloid,29,C1QA,3.120178041543027,17.50741839762611,674,0.2568708119040966
Tuft,CD68,Myeloid,30,CD68,0.5667655786350149,15.727002967359049,674,0.30081645422014225
CD8+ T cells,LGR5,Stem/TA,1,LGR5,0.0002843332385555871,0.028433323855558714,3517,0.010632629509011452
CD8+ T cells,OLFM4,Stem/TA,2,OLFM4,0.006539664486778504,0.6539664486778505,3517,0.026796967740482822
CD8+ T cells,MKI67,Stem/TA,3,MKI67,0.020187659937446686,1.5353994882001705,3517,0.062237252804325044
CD8+ T cells,FABP1,Enterocytes,4,FABP1,1.382996872334376,66.98891100369633,3517,0.009093627646744564
CD8+ T cells,ALPI,Enterocytes,5,ALPI,0.0017059994313335229,0.17059994313335228,3517,0.06276949973799045
CD8+ T cells,SLC26A3,Enterocytes,6,SLC26A3,0.22348592550469148,18.879727040090987,3517,0.01566298156695945
CD8+ T cells,BEST4,Enterocytes,7,BEST4,0.019050326983224338,1.8197327267557577,3517,0.0015831051610019718
CD8+ T cells,MUC2,Goblet,8,MUC2,0.10747796417401194,9.610463463178846,3517,0.0031566860300762997
CD8+ T cells,TFF3,Goblet,9,TFF3,0.181120272959909,16.093261302246233,3517,0.0041765692796132585
CD8+ T cells,SPDEF,Goblet,10,SPDEF,0.00199033266988911,0.199033266988911,3517,0.004707164179338294
CD8+ T cells,CHGA,Enteroendocrine,11,CHGA,0.007676997441000853,0.7676997441000852,3517,0.001968551178678659
CD8+ T cells,NEUROD1,Enteroendocrine,12,NEUROD1,0.0002843332385555871,0.028433323855558714,3517,0.0013942305294085367
CD8+ T cells,TPH1,Enteroendocrine,13,TPH1,0.0025589991470002845,0.25589991470002843,3517,0.004442486096811053
CD8+ T cells,TRPM5,Tuft,14,TRPM5,0.0005686664771111743,0.05686664771111743,3517,0.0008368585274518153
CD8+ T cells,POU2F3,Tuft,15,POU2F3,0.0017059994313335229,0.17059994313335228,3517,0.002181866445386707
CD8+ T cells,SH2D6,Tuft,16,SH2D6,0.0028433323855558716,0.2843332385555872,3517,0.0015772889118227634
CD8+ T cells,CD8A,CD8+ T cells,17,CD8A,0.9050326983224339,40.545919818026725,3517,1.0
CD8+ T cells,NKG7,CD8+ T cells,18,NKG7,1.7787887404037532,60.93261302246232,3517,1.0
CD8+ T cells,GZMB,CD8+ T cells,19,GZMB,0.3827125390958203,20.870059709980097,3517,1.0
CD8+ T cells,LEF1,CD4+ T cells,20,LEF1,0.01791299402900199,1.4500995166334945,3517,0.15565774121753453
CD8+ T cells,IL7R,CD4+ T cells,21,IL7R,0.9212396929201023,29.712823429058854,3517,0.22394446951071925
CD8+ T cells,CD40LG,CD4+ T cells,22,CD40LG,0.06738697753767416,4.663065112311629,3517,0.17434823757180581
CD8+ T cells,MS4A1,B cells,23,MS4A1,0.00597099800966733,0.5117998294000569,3517,0.0023817962044881532
CD8+ T cells,CD79A,B cells,24,CD79A,0.009098663633778788,0.9098663633778789,3517,0.0
CD8+ T cells,CD38,Plasma,25,CD38,0.0864373045208985,7.421097526300826,3517,0.08760259259956923
CD8+ T cells,MZB1,Plasma,26,MZB1,0.04350298549900483,4.179698606767131,3517,0.00047105824958647736
CD8+ T cells,XBP1,Plasma,27,XBP1,0.172874609041797,14.1882286039238,3517,0.003314637675332942
CD8+ T cells,LYZ,Myeloid,28,LYZ,0.007676997441000853,0.6539664486778505,3517,0.0
CD8+ T cells,C1QA,Myeloid,29,C1QA,0.011373329542223486,0.7676997441000852,3517,0.00026574803157530965
CD8+ T cells,CD68,Myeloid,30,CD68,0.00597099800966733,0.48336650554449817,3517,0.0014925746073139654
CD4+ T cells,LGR5,Stem/TA,1,LGR5,0.0007936507936507937,0.07936507936507936,1260,0.02967853808189943
CD4+ T cells,OLFM4,Stem/TA,2,OLFM4,0.0015873015873015873,0.15873015873015872,1260,0.006504136338390482
CD4+ T cells,MKI67,Stem/TA,3,MKI67,0.0015873015873015873,0.15873015873015872,1260,0.0
CD4+ T cells,FABP1,Enterocytes,4,FABP1,0.5047619047619047,33.65079365079365,1260,1.8513320009717727e-05
CD4+ T cells,ALPI,Enterocytes,5,ALPI,0.0,0.0,1260,0.0
CD4+ T cells,SLC26A3,Enterocytes,6,SLC26A3,0.07301587301587302,6.984126984126984,1260,0.0007596127995344112
CD4+ T cells,BEST4,Enterocytes,7,BEST4,0.020634920634920634,2.0634920634920633,1260,0.0020518496471278566
CD4+ T cells,MUC2,Goblet,8,MUC2,0.050793650793650794,4.603174603174604,1260,0.00035705405022115903
CD4+ T cells,TFF3,Goblet,9,TFF3,0.0873015873015873,8.015873015873016,1260,0.0013781977871536587
CD4+ T cells,SPDEF,Goblet,10,SPDEF,0.002380952380952381,0.2380952380952381,1260,0.005630985176439722
CD4+ T cells,CHGA,Enteroendocrine,11,CHGA,0.0031746031746031746,0.31746031746031744,1260,0.0008140381534876948
CD4+ T cells,NEUROD1,Enteroendocrine,12,NEUROD1,0.0,0.0,1260,0.0
CD4+ T cells,TPH1,Enteroendocrine,13,TPH1,0.002380952380952381,0.2380952380952381,1260,0.004133392487429755
CD4+ T cells,TRPM5,Tuft,14,TRPM5,0.0007936507936507937,0.07936507936507936,1260,0.0011679489845428709
CD4+ T cells,POU2F3,Tuft,15,POU2F3,0.0,0.0,1260,0.0
CD4+ T cells,SH2D6,Tuft,16,SH2D6,0.002380952380952381,0.2380952380952381,1260,0.0013207916911620616
CD4+ T cells,CD8A,CD8+ T cells,17,CD8A,0.10952380952380952,5.396825396825397,1260,0.1210164115913409
CD4+ T cells,NKG7,CD8+ T cells,18,NKG7,0.1373015873015873,7.4603174603174605,1260,0.07415685195247422
CD4+ T cells,GZMB,CD8+ T cells,19,GZMB,0.004761904761904762,0.4761904761904762,1260,0.012442510436566901
CD4+ T cells,LEF1,CD4+ T cells,20,LEF1,0.11507936507936507,9.841269841269842,1260,1.0
CD4+ T cells,IL7R,CD4+ T cells,21,IL7R,4.101587301587301,76.5079365079365,1260,1.0
CD4+ T cells,CD40LG,CD4+ T cells,22,CD40LG,0.3865079365079365,27.142857142857142,1260,1.0
CD4+ T cells,MS4A1,B cells,23,MS4A1,0.03571428571428571,2.2222222222222223,1260,0.014246219814940193
CD4+ T cells,CD79A,B cells,24,CD79A,0.07698412698412699,4.761904761904762,1260,0.015065989329486685
CD4+ T cells,CD38,Plasma,25,CD38,0.02619047619047619,2.301587301587302,1260,0.019262339536983194
CD4+ T cells,MZB1,Plasma,26,MZB1,0.050793650793650794,4.920634920634921,1260,0.0010042569593430594
CD4+ T cells,XBP1,Plasma,27,XBP1,0.29365079365079366,23.809523809523807,1260,0.02120280438070668
CD4+ T cells,LYZ,Myeloid,28,LYZ,0.013492063492063493,1.3492063492063493,1260,0.00038557958107121864
CD4+ T cells,C1QA,Myeloid,29,C1QA,0.010317460317460317,0.9523809523809524,1260,0.00017859511752590744
CD4+ T cells,CD68,Myeloid,30,CD68,0.0031746031746031746,0.31746031746031744,1260,0.0
B cells,LGR5,Stem/TA,1,LGR5,0.0,0.0,505,0.0
B cells,OLFM4,Stem/TA,2,OLFM4,0.0,0.0,505,0.0
B cells,MKI67,Stem/TA,3,MKI67,0.0039603960396039604,0.39603960396039606,505,0.007940431930190847
B cells,FABP1,Enterocytes,4,FABP1,0.502970297029703,34.05940594059406,505,0.0
B cells,ALPI,Enterocytes,5,ALPI,0.0,0.0,505,0.0
B cells,SLC26A3,Enterocytes,6,SLC26A3,0.06534653465346535,5.544554455445545,505,0.0
B cells,BEST4,Enterocytes,7,BEST4,0.01782178217821782,1.5841584158415842,505,0.0012196847959835097
B cells,MUC2,Goblet,8,MUC2,0.04356435643564356,4.356435643564356,505,0.0
B cells,TFF3,Goblet,9,TFF3,0.0891089108910891,8.316831683168317,505,0.001432105628379774
B cells,SPDEF,Goblet,10,SPDEF,0.005940594059405941,0.594059405940594,505,0.014049586776859503
B cells,CHGA,Enteroendocrine,11,CHGA,0.0019801980198019802,0.19801980198019803,505,0.0005077663729675721
B cells,NEUROD1,Enteroendocrine,12,NEUROD1,0.0,0.0,505,0.0
B cells,TPH1,Enteroendocrine,13,TPH1,0.0,0.0,505,0.0
B cells,TRPM5,Tuft,14,TRPM5,0.0,0.0,505,0.0
B cells,POU2F3,Tuft,15,POU2F3,0.0,0.0,505,0.0
B cells,SH2D6,Tuft,16,SH2D6,0.0,0.0,505,0.0
B cells,CD8A,CD8+ T cells,17,CD8A,0.0019801980198019802,0.19801980198019803,505,0.002187985056752612
B cells,NKG7,CD8+ T cells,18,NKG7,0.011881188118811881,1.188118811881188,505,0.0034163548433074776
B cells,GZMB,CD8+ T cells,19,GZMB,0.0,0.0,505,0.0
B cells,LEF1,CD4+ T cells,20,LEF1,0.0,0.0,505,0.0
B cells,IL7R,CD4+ T cells,21,IL7R,0.005940594059405941,0.594059405940594,505,0.0005968939856727396
B cells,CD40LG,CD4+ T cells,22,CD40LG,0.0,0.0,505,0.0
B cells,MS4A1,B cells,23,MS4A1,2.506930693069307,83.36633663366337,505,1.0
B cells,CD79A,B cells,24,CD79A,4.366336633663367,92.47524752475248,505,0.9670126345563682
B cells,CD38,Plasma,25,CD38,0.07128712871287128,6.534653465346535,505,0.07041717591697136
B cells,MZB1,Plasma,26,MZB1,0.12673267326732673,11.08910891089109,505,0.0065580146984173145
B cells,XBP1,Plasma,27,XBP1,0.1504950495049505,13.465346534653467,505,0.0
B cells,LYZ,Myeloid,28,LYZ,0.2198019801980198,3.1683168316831685,505,0.01406537110120089
B cells,C1QA,Myeloid,29,C1QA,0.041584158415841586,1.9801980198019802,505,0.0027593918564289117
B cells,CD68,Myeloid,30,CD68,0.02178217821782178,2.178217821782178,505,0.009931785620881387
Plasma,LGR5,Stem/TA,1,LGR5,0.002348796241926013,0.23487962419260128,3406,0.08783313677790552
Plasma,OLFM4,Stem/TA,2,OLFM4,0.012331180270111567,1.2331180270111568,3406,0.05052831694474814
Plasma,MKI67,Stem/TA,3,MKI67,0.004697592483852026,0.46975924838520255,3406,0.010407109216908737
Plasma,FABP1,Enterocytes,4,FABP1,1.5155607751027598,61.098062243100415,3406,0.01046345760984265
Plasma,ALPI,Enterocytes,5,ALPI,0.001467997651203758,0.1467997651203758,3406,0.054012607794703564
Plasma,SLC26A3,Enterocytes,6,SLC26A3,0.17381092190252495,15.179095713446857,3406,0.010742900228772445
Plasma,BEST4,Enterocytes,7,BEST4,0.02701115678214915,2.6423957721667644,3406,0.003938027553400803
Plasma,MUC2,Goblet,8,MUC2,0.12947739283617146,12.096300645918967,3406,0.004243235382942981
Plasma,TFF3,Goblet,9,TFF3,0.24897240164415738,20.75748678802114,3406,0.006200424775779645
Plasma,SPDEF,Goblet,10,SPDEF,0.002055196711685261,0.2055196711685261,3406,0.004860568531630294
Plasma,CHGA,Enteroendocrine,11,CHGA,0.0064591896652965355,0.6459189665296535,3406,0.0016562784508719099
Plasma,NEUROD1,Enteroendocrine,12,NEUROD1,0.0005871990604815032,0.05871990604815032,3406,0.0028793357439400027
Plasma,TPH1,Enteroendocrine,13,TPH1,0.0008807985907222549,0.08807985907222549,3406,0.0015290882366886351
Plasma,TRPM5,Tuft,14,TRPM5,0.0026423957721667646,0.26423957721667646,3406,0.0038885911581668106
Plasma,POU2F3,Tuft,15,POU2F3,0.0011743981209630064,0.11743981209630064,3406,0.0015019816575504105
Plasma,SH2D6,Tuft,16,SH2D6,0.005578391074574281,0.5578391074574282,3406,0.003094514884167132
